Name,Input Size,Kernel Size,Median Elapsed Time,Max Norm of Difference
Direct,16,1,0.09349989704787731,2.0578092971845763e-6
Direct,16,3,0.357041135430336,0.000010274649866914842
Direct,16,5,0.9933330584317446,0.000029140273909433745
Direct,16,7,1.8624591175466776,0.00004711325163953006
Direct,16,15,8.292707847431302,0.00016449888062197715
Direct,32,1,0.07049995474517345,5.450992830446921e-6
Direct,32,3,0.3950840327888727,0.000025168114007101394
Direct,32,5,1.0126670822501183,0.000049957896408159286
Direct,32,7,2.0030830055475235,0.00009929728548740968
Direct,32,15,8.773499866947532,0.0003932859981432557
Direct,32,31,37.59249998256564,0.0013461119960993528
Direct,64,1,0.0802918802946806,5.645627879857784e-6
Direct,64,3,0.4473340231925249,0.00004187751255813055
Direct,64,5,1.23924994841218,0.00010931741417152807
Direct,64,15,8.6967081297189,0.0008872163016349077
Direct,64,31,137.96658301725984,0.0031623924151062965
Direct,64,63,919.9412500020117,0.009703081101179123
