Name,Input Size,Kernel Size,Median Elapsed Time,Max Norm of Difference
Matrix,16,1,0.10520918294787407,2.7623038931778865e-6
Matrix,16,3,0.10458286851644516,0.00001440756932424847
Matrix,16,5,0.07987488061189651,0.00004570857709040865
Matrix,16,7,0.07091602310538292,0.00006874039536342025
Matrix,16,15,0.07237493991851807,0.00022990259458310902
Matrix,32,1,0.05070795305073261,8.292353413708042e-6
Matrix,32,3,0.0616670586168766,0.000036929002817487344
Matrix,32,5,0.05725002847611904,0.00007505261601181701
Matrix,32,7,0.054791802540421486,0.0001571254397276789
Matrix,32,15,0.11483300477266312,0.0006333612836897373
Matrix,32,31,0.09724986739456654,0.001970590790733695
Matrix,64,1,0.049416907131671906,4.812848146684701e-6
Matrix,64,3,0.059333862736821175,0.000059740992583101615
Matrix,64,5,0.08941697888076305,0.00017104935250245035
Matrix,64,15,0.10475004091858864,0.0013600934762507677
Matrix,64,31,0.1710830256342888,0.005003153812140226
Matrix,64,63,0.29874988831579685,0.015776095911860466
