CMDLINE ./build/main
MEM 0.031250 1782429993.4244
MEM 0.031250 1782429993.5296
MEM 8.109375 1782429993.6347
MEM 99.640625 1782429993.7374
MEM 99.750000 1782429993.8380
MEM 111.593750 1782429993.9432
MEM 180.921875 1782429994.0456
MEM 240.531250 1782429994.1491
MEM 259.171875 1782429994.2543
MEM 259.203125 1782429994.3577
MEM 259.203125 1782429994.4626
MEM 259.218750 1782429994.5669
MEM 259.218750 1782429994.6683
MEM 390.703125 1782429994.7739
MEM 390.703125 1782429994.8753
MEM 390.703125 1782429994.9781
MEM 390.703125 1782429995.0841
MEM 390.703125 1782429995.1855
MEM 390.703125 1782429995.2910
MEM 390.703125 1782429995.3972
MEM 360.500000 1782429995.5021
MEM 330.859375 1782429995.6077
MEM 330.968750 1782429995.7130
MEM 335.015625 1782429995.8222
MEM 435.406250 1782429995.9274
MEM 464.171875 1782429996.0326
MEM 464.171875 1782429996.1363
MEM 458.718750 1782429996.2415
MEM 460.890625 1782429996.3466
MEM 460.890625 1782429996.4580
MEM 477.062500 1782429996.5632
MEM 477.062500 1782429996.6684
MEM 482.906250 1782429996.7708
MEM 482.906250 1782429996.8785
MEM 498.062500 1782429996.9837
MEM 498.062500 1782429997.0876
MEM 498.062500 1782429997.1932
MEM 498.062500 1782429997.2957
MEM 498.062500 1782429997.4008
MEM 498.062500 1782429997.5046
MEM 510.093750 1782429997.6076
MEM 510.093750 1782429997.7114
MEM 510.093750 1782429997.8141
MEM 510.093750 1782429997.9165
MEM 479.859375 1782429998.0179
MEM 479.875000 1782429998.1212
MEM 479.875000 1782429998.2225
MEM 479.875000 1782429998.3277
MEM 479.875000 1782429998.4288
MEM 479.875000 1782429998.5340
MEM 470.890625 1782429998.6364
MEM 470.890625 1782429998.7412
MEM 462.359375 1782429998.8464
MEM 454.953125 1782429998.9572
MEM 454.953125 1782429999.0602
MEM 454.953125 1782429999.1650
MEM 455.015625 1782429999.2702
MEM 455.015625 1782429999.3754
MEM 455.015625 1782429999.4765
MEM 455.015625 1782429999.5817
MEM 455.015625 1782429999.6856
MEM 455.062500 1782429999.7908
MEM 455.062500 1782429999.8960
MEM 455.062500 1782429999.9970
MEM 455.062500 1782430000.1022
MEM 455.062500 1782430000.2067
MEM 455.062500 1782430000.3091
MEM 455.062500 1782430000.4108
MEM 455.062500 1782430000.5160
MEM 455.062500 1782430000.6213
MEM 455.062500 1782430000.7223
MEM 455.062500 1782430000.8237
MEM 455.062500 1782430000.9287
MEM 455.062500 1782430001.0339
MEM 455.062500 1782430001.1381
MEM 455.062500 1782430001.2427
MEM 455.062500 1782430001.3465
MEM 455.062500 1782430001.4504
MEM 455.140625 1782430001.5516
