CMDLINE ./build/main
MEM 0.250000 1784597882.4835
MEM 135.250000 1784597882.5840
MEM 251.867188 1784597882.6844
MEM 263.742188 1784597882.7848
MEM 150.105469 1784597882.8851
MEM 125.351562 1784597882.9854
MEM 226.976562 1784597883.0858
MEM 263.601562 1784597883.1887
MEM 263.601562 1784597883.2891
MEM 88.449219 1784597883.3895
MEM 197.824219 1784597883.4898
MEM 263.699219 1784597883.5927
MEM 263.699219 1784597883.6930
MEM 62.949219 1784597883.7934
MEM 174.574219 1784597883.8939
MEM 263.699219 1784597883.9967
MEM 263.699219 1784597884.0971
