CMDLINE ./build/main
MEM 0.250000 1784597919.2019
MEM 135.250000 1784597919.3023
MEM 249.742188 1784597919.4027
MEM 300.742188 1784597919.5047
MEM 24.214844 1784597919.6051
MEM 135.464844 1784597919.7055
MEM 283.339844 1784597919.8058
MEM 300.714844 1784597919.9062
MEM 71.480469 1784597920.0066
MEM 179.855469 1784597920.1070
MEM 300.605469 1784597920.2088
MEM 226.832031 1784597920.3091
MEM 109.082031 1784597920.4094
MEM 211.332031 1784597920.5097
MEM 300.707031 1784597920.6128
MEM 98.828125 1784597920.7131
