CMDLINE ./build/main
MEM 0.250000 1784672089.8270
MEM 101.125000 1784672089.9274
MEM 191.000000 1784672090.0278
MEM 266.000000 1784672090.1281
MEM 128.746094 1784672090.2285
MEM 125.085938 1784672090.3289
MEM 219.710938 1784672090.4294
MEM 266.210938 1784672090.5298
MEM 10.367188 1784672090.6302
MEM 138.242188 1784672090.7308
MEM 253.367188 1784672090.8312
MEM 266.242188 1784672090.9316
MEM 65.867188 1784672091.0319
MEM 168.367188 1784672091.1323
MEM 266.242188 1784672091.2327
MEM 126.152344 1784672091.3331
